"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1900	7	12	6	25	0			"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1		5.9	8	140	3						3																
	1900	10	29	9	11	0	1276		"VENEZUELA:  MACUTO"	11	-66		7.7	10	25	1						3		3		3	25	1						3		3		3
	1901	3	31	7	11				"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU"	43.4	28.7		6.4	8	4	1			50	1		3	1200	4	1200	4	4	1			50	1			1200	4		
	1901	3	31	7	12		3725		"BULGARIA:  BALCHIK"	43.4	28.5		7.2	10	4	1			50	1		3	1200	4			4	1			50	1		3	1200	4		
	1901	8	9	18	33	45	1282		"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.6	142.3	33	8.2		18	1						2	8	1			18	1						2	8	1		
	1902	1	16						"MEXICO:  GUERRERO"	17.6	-99.7		7		2	1						2					2	1			2	1		2				
	1902	2	13	9	39	30			"AZERBAIJAN:  SEMACHA; N IRAN"	40.7	48.6	15	6.9	9	86	2			60	2		4	3496	4	3496	4	86	2			60	2		4	3496	4		
	1902	3	9	7	46	0			"TURKEY:  CANKIRI"	40.7	33.6		5.5	9	4	1						3																
	1902	4	19	2	23	30	5063		"GUATEMALA:  QUEZALTENANGO, SAN MARCOS"	14	-91	33	7.5		2000	4						3					2000	4						3				
